customer_id,tenure_months,monthly_fee,total_usage_last_30d,support_tickets_last_90d,has_outstanding_invoice,discount_received_last_6m,num_competing_offers_in_region,is_premium_plan,engagement_score,region,segment,device_type,churn_next_30d
18501,15,25.02,42.7,0,0,0,2,0,50.0,South,Enterprise,Mobile,0
5976,17,59.18,129.1,1,1,0,0,1,68.5,North,Consumer,Desktop,0
9691,12,53.94,27.7,0,0,0,3,1,40.7,South,Consumer,Mobile,0
9878,26,42.1,22.1,1,0,0,1,1,19.0,West,Consumer,Desktop,1
3264,38,16.39,58.4,0,0,0,1,0,41.3,South,Consumer,Mobile,0
9454,19,16.49,22.3,1,0,0,2,0,57.5,East,Enterprise,Mobile,0
7067,10,8.63,35.3,1,0,0,1,0,79.3,East,Consumer,SmartTV,0
10076,29,11.71,22.1,1,0,0,2,0,48.3,East,Consumer,Tablet,0
19210,2,12.64,40.5,2,0,1,0,0,43.0,West,Consumer,SmartTV,0
1078,31,15.18,37.7,0,0,0,2,0,50.2,South,Consumer,Mobile,0
6754,40,10.19,14.0,1,1,0,1,0,76.8,West,SMB,Mobile,0
18964,7,14.28,25.5,0,0,0,1,0,71.9,North,SMB,Mobile,0
1969,26,20.59,30.9,0,0,0,2,0,54.5,South,SMB,Desktop,0
14915,5,18.18,57.4,1,0,0,0,0,52.7,North,SMB,Mobile,0
2389,17,27.16,52.7,0,0,0,1,0,44.6,East,Consumer,Mobile,0
14489,18,43.74,28.9,0,0,1,2,1,49.5,South,SMB,Mobile,0
6464,34,13.05,54.0,1,0,0,1,0,90.4,North,Consumer,Tablet,0
14419,5,23.92,31.9,0,0,1,0,0,49.3,South,Consumer,Desktop,0
14953,9,45.35,29.9,2,0,0,0,1,51.2,South,Consumer,Desktop,0
7469,4,25.92,29.8,0,0,1,2,0,69.3,West,Enterprise,Desktop,0
19784,14,7.38,16.9,0,0,0,0,0,67.9,North,Enterprise,Mobile,0
16304,15,17.95,9.8,1,1,0,3,0,46.1,South,Consumer,Desktop,1
16701,36,44.87,44.5,3,0,1,1,1,40.5,South,Enterprise,Tablet,0
16442,22,17.04,5.5,1,0,0,2,0,15.2,West,Consumer,Mobile,0
6149,41,20.16,30.4,0,0,1,2,0,81.1,West,Consumer,SmartTV,0
2713,29,14.67,26.1,1,0,0,2,0,64.5,North,Consumer,Mobile,0
9926,16,20.41,61.7,2,0,0,0,0,70.4,West,Consumer,Desktop,1
8060,4,12.87,5.3,3,0,0,4,0,18.0,West,Consumer,Mobile,0
1906,9,17.64,11.0,2,0,0,2,0,57.1,South,Enterprise,Desktop,0
10503,19,14.32,14.5,0,1,0,2,0,15.9,North,SMB,Desktop,1
14068,33,12.46,19.1,0,0,0,0,0,47.1,East,Consumer,Desktop,0
4919,19,19.44,31.3,2,0,0,0,0,59.1,West,SMB,Mobile,0
11799,38,19.38,37.0,2,0,0,2,0,63.5,North,Consumer,SmartTV,0
7859,17,22.23,21.5,0,0,1,0,0,41.6,West,SMB,Mobile,0
11228,18,21.79,18.1,0,1,0,2,0,54.8,East,Consumer,Mobile,0
8367,17,18.99,8.8,0,0,0,1,0,8.0,North,Consumer,SmartTV,0
6166,21,17.9,30.3,1,0,0,0,0,76.0,East,Consumer,Tablet,0
9797,27,17.9,24.5,0,0,0,0,0,20.5,North,SMB,SmartTV,0
15371,3,11.74,21.7,2,0,0,1,0,63.6,West,SMB,Mobile,0
13221,40,20.36,63.1,0,0,1,1,0,71.3,East,Consumer,SmartTV,0
11717,5,12.16,81.5,0,0,0,3,0,80.6,South,Consumer,Desktop,0
8337,16,18.02,26.5,2,0,1,0,0,44.9,West,SMB,Mobile,0
9404,17,47.3,61.2,0,0,0,3,1,67.8,South,Consumer,Tablet,0
2085,10,22.35,6.9,1,0,0,0,0,15.8,East,Consumer,Mobile,0
11238,18,44.07,24.9,2,1,0,3,1,73.1,East,SMB,Mobile,0
17100,16,14.41,28.0,0,0,1,2,0,66.4,West,Consumer,Desktop,0
16869,13,18.88,99.4,2,0,1,1,0,84.1,North,SMB,SmartTV,0
323,24,15.42,61.0,0,0,1,4,0,65.0,South,Consumer,SmartTV,0
19289,13,50.66,23.8,0,1,0,3,1,42.4,North,Consumer,Tablet,0
13130,17,40.76,13.0,2,0,0,1,1,34.0,North,SMB,Desktop,1
12793,12,22.81,61.6,2,0,1,2,0,67.9,South,Consumer,Mobile,0
9483,3,21.96,8.2,0,0,0,3,0,12.5,West,Consumer,SmartTV,0
18368,14,54.63,21.7,0,0,0,1,1,43.1,East,Consumer,SmartTV,0
12138,7,18.14,17.9,2,0,0,3,0,41.6,East,SMB,Desktop,0
3435,11,19.67,18.4,0,1,0,1,0,30.2,North,SMB,Desktop,0
13478,9,12.46,24.8,1,0,0,3,0,25.6,East,Consumer,Mobile,0
18941,31,12.15,37.4,1,1,0,3,0,55.3,South,Consumer,Tablet,0
972,21,14.4,129.5,0,0,0,2,0,82.2,North,Consumer,Mobile,0
11189,43,34.01,67.0,0,1,0,3,1,64.5,North,Consumer,Desktop,0
7531,8,19.64,54.8,2,0,0,3,0,71.0,North,Consumer,Desktop,0
15074,21,21.47,8.3,0,0,0,1,0,37.8,East,Consumer,Mobile,0
6428,28,14.46,26.8,1,0,0,2,0,41.6,South,SMB,Mobile,0
18117,14,39.64,31.9,3,0,0,1,1,27.5,North,SMB,SmartTV,1
3257,2,16.5,11.5,0,1,0,3,0,25.7,North,SMB,Mobile,0
5237,13,16.74,38.2,2,0,0,2,0,56.3,North,Consumer,SmartTV,0
12625,29,34.14,103.3,0,0,1,1,1,68.7,West,Enterprise,Tablet,0
6492,13,20.59,46.4,0,0,0,1,0,52.0,East,Consumer,Desktop,0
12386,32,39.36,33.6,0,0,0,0,1,78.4,South,Consumer,Mobile,0
9685,11,38.31,113.6,0,0,0,1,1,70.5,North,Enterprise,Desktop,0
8815,12,16.87,34.5,2,0,0,0,0,63.1,West,SMB,Desktop,0
17531,3,9.39,27.2,0,0,0,2,0,69.0,East,Consumer,Mobile,0
2027,3,45.96,85.5,1,1,0,0,1,69.8,West,Consumer,Mobile,0
6259,9,48.17,38.8,0,0,0,3,1,70.1,South,Consumer,Tablet,0
8215,8,16.86,17.0,1,0,0,0,0,42.2,North,Consumer,Desktop,0
9412,18,57.89,26.2,2,0,0,2,1,29.0,South,Consumer,SmartTV,0
5082,3,16.59,42.2,0,0,0,1,0,85.2,East,Enterprise,Mobile,1
